sku,oem_cross_ref,categorie,designation,marque,location_id,stock_systeme,stock_physique_compte,stock_reserve,seuil_reappro,stock_securite,cout_unitaire_cad,prix_vente_cad,delai_fournisseur_j,classe_abc
WAT-42575,OEM-4582532,Moteur & Refroidissement,Radiateur alu (Continental),Continental,B-24-04-L2-D,3,3,3,8,1,118.97,193.76,19,C
RAD-42576,OEM-1260723,Moteur & Refroidissement,Courroie accessoire (Continental),Continental,B-11-07-L1-A,72,72,7,40,12,198.24,336.47,19,C
CAB-42577,OEM-8574482,Filtration,Filtre à air (Mahle),Mahle,C-14-01-L4-B,71,76,9,43,16,12.06,17.66,16,A
BEL-42578,OEM-6478277,Moteur & Refroidissement,Courroie accessoire (Valeo),Valeo,A-18-13-L2-A,3,3,0,9,3,24.57,37.11,35,C
CAB-42579,OEM-6117740,Filtration,Filtre à air (Purflux),Purflux,B-29-01-L1-B,13,13,3,8,4,19.48,31.23,27,A
CAB-42580,OEM-7903532,Filtration,Filtre habitacle charbon (Wix),Wix,B-17-07-L1-D,9,9,1,11,3,3.64,6.28,15,A
BRK-42581,OEM-4205224,Freinage,Plaquettes AR (Textar),Textar,A-12-11-L1-B,13,13,10,5,2,158.74,228.57,22,C
CAL-42582,OEM-5169146,Freinage,Étrier reconditionné (Textar),Textar,C-17-07-L2-D,39,39,3,46,18,87.5,139.61,15,B
SUS-42583,OEM-7136747,Suspension,Bras oscillant inférieur (Sachs),Sachs,A-08-08-L4-C,79,79,4,26,7,194.32,302.7,17,C
STR-42584,OEM-4348381,Électrique,Bobine d'allumage (Denso),Denso,C-02-09-L2-E,431,431,5,98,43,133.81,216.99,7,A
AIR-42585,OEM-7568753,Filtration,Filtre habitacle charbon (Purflux),Purflux,B-23-10-L3-A,3,3,1,7,3,4.24,7.15,14,A
SUS-42586,OEM-9222518,Suspension,Bras oscillant inférieur (Sachs),Sachs,B-31-04-L4-C,422,422,5,112,50,28.65,47.4,5,A
BRK-42587,OEM-2872679,Freinage,Flexible de frein (Brembo),Brembo,A-04-08-L2-D,51,51,5,45,16,128.57,176.05,17,B
ROT-42588,OEM-2276538,Freinage,Flexible de frein (Textar),Textar,D-10-05-L1-E,312,312,3,107,31,64.85,112.61,3,C
FLT-42589,OEM-6920109,Filtration,Filtre à huile (Purflux),Purflux,C-18-06-L2-E,25,25,1,43,13,17.84,26.68,19,B
CAL-42590,OEM-8720032,Freinage,Flexible de frein (Brembo),Brembo,C-17-06-L4-E,6,6,1,8,2,108.69,162.55,25,C
WAT-42591,OEM-7162878,Moteur & Refroidissement,Courroie accessoire (SKF),SKF,A-17-11-L1-A,12,12,12,5,3,140.62,227.27,41,C
CAL-42592,OEM-3792355,Freinage,Flexible de frein (TRW),TRW,C-14-07-L3-B,7,7,4,9,3,103.68,164.26,26,C
ARM-42593,OEM-1577621,Suspension,Amortisseur bitube (Moog),Moog,A-05-15-L3-C,8,8,4,11,4,48.12,82.82,39,B
ARM-42594,OEM-3808880,Suspension,Bras oscillant inférieur (Monroe),Monroe,B-40-01-L1-D,6,6,1,4,1,158.59,218.45,35,C
AIR-42595,OEM-3907843,Filtration,Filtre à air (Purflux),Purflux,B-31-03-L4-E,118,118,7,76,23,11.72,19.46,8,C
SUS-42596,OEM-6680345,Suspension,Amortisseur bitube (KYB),KYB,A-17-12-L1-D,69,69,11,16,5,142.48,216.29,9,C
AIR-42597,OEM-8359301,Filtration,Filtre à huile (Bosch),Bosch,A-14-11-L1-B,17,17,11,28,9,3.9,6.41,12,C
BEL-42598,OEM-2349652,Moteur & Refroidissement,Kit distribution + pompe (Nissens),Nissens,A-15-13-L4-E,1,1,1,7,3,99.56,143.43,24,A
STR-42599,OEM-3562664,Électrique,Alternateur 140A (Delphi),Delphi,A-11-15-L2-A,5,5,5,8,3,234.19,398.64,34,C
WAT-42600,OEM-7787800,Moteur & Refroidissement,Thermostat piloté (Continental),Continental,A-17-14-L2-E,34,36,12,47,18,234.86,327.74,15,C
RAD-42601,OEM-6360341,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,C-15-03-L3-B,7,7,0,5,3,199.45,274.56,27,C
ARM-42602,OEM-2300778,Suspension,Bras oscillant inférieur (Sachs),Sachs,C-12-08-L1-C,16,16,14,32,20,61.55,90.82,7,A
BEL-42603,OEM-1971163,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,C-15-08-L2-A,1,1,1,11,4,210.23,363.99,43,C
CAL-42604,OEM-9041742,Freinage,Étrier reconditionné (Ferodo),Ferodo,A-01-07-L3-B,17,17,13,42,14,93.03,161.25,15,A
SEN-42605,OEM-7017060,Électrique,Alternateur 140A (Valeo),Valeo,B-07-09-L2-A,1,1,0,10,4,238.08,345.76,43,C
ARM-42606,OEM-4931716,Suspension,Rotule de direction (Moog),Moog,C-18-01-L4-B,2,2,1,10,4,165.5,244.49,34,B
ROT-42607,OEM-6342710,Freinage,Disque ventilé (TRW),TRW,A-17-14-L2-E,75,75,9,20,7,133.0,223.97,16,C
RAD-42608,OEM-5630018,Moteur & Refroidissement,Courroie accessoire (Valeo),Valeo,A-09-15-L1-B,76,76,2,38,10,152.32,210.68,18,A
WAT-42609,OEM-2202927,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,D-07-04-L2-D,14,14,9,42,17,78.84,111.46,14,C
STR-42610,OEM-5398133,Suspension,Amortisseur bitube (Moog),Moog,A-15-05-L3-B,7,7,5,7,2,44.86,77.47,16,C
ARM-42611,OEM-5683536,Suspension,Amortisseur bitube (KYB),KYB,D-03-08-L4-E,5,5,0,12,4,193.8,312.23,18,C
STR-42612,OEM-5930568,Suspension,Ressort hélicoïdal (KYB),KYB,D-01-08-L4-D,9,9,3,5,1,189.71,259.75,34,A
SEN-42613,OEM-2322071,Électrique,Sonde Lambda amont (Valeo),Valeo,A-05-08-L2-B,12,12,2,6,2,199.22,308.15,14,C
RAD-42614,OEM-7569335,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,D-10-01-L2-B,13,13,11,8,1,41.3,64.52,27,C
BRK-42615,OEM-8192989,Freinage,Plaquettes AR (Ferodo),Ferodo,B-09-10-L4-D,215,215,1,100,59,69.62,94.36,6,C
FLT-42616,OEM-9770410,Filtration,Filtre à huile (Mahle),Mahle,B-29-05-L4-A,72,72,6,28,15,32.11,47.41,7,C
RAD-42617,OEM-1137664,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,B-28-01-L3-C,9,8,8,5,3,132.44,207.53,43,C
STR-42618,OEM-6244815,Suspension,Bras oscillant inférieur (Sachs),Sachs,B-16-02-L2-A,57,57,13,38,20,133.63,191.53,14,A
ALT-42619,OEM-1548000,Électrique,Sonde Lambda amont (Valeo),Valeo,D-10-02-L1-B,40,40,7,18,6,291.2,492.96,8,C
ALT-42620,OEM-6841202,Électrique,Sonde Lambda amont (NGK),NGK,B-33-06-L1-A,11,11,4,6,3,71.94,104.14,40,C
ROT-42621,OEM-3369306,Freinage,Étrier reconditionné (Ferodo),Ferodo,A-20-11-L2-D,331,331,3,93,29,16.68,27.95,9,C
RAD-42622,OEM-1864070,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,B-34-01-L4-C,14,14,7,9,2,101.03,162.9,32,A
STR-42623,OEM-8997013,Suspension,Rotule de direction (Moog),Moog,A-11-10-L3-C,31,31,4,34,16,50.85,82.74,16,C
CAB-42624,OEM-3227924,Filtration,Filtre carburant diesel (Purflux),Purflux,A-11-14-L4-C,4,4,0,3,1,28.12,40.66,39,C
ROT-42625,OEM-9616319,Freinage,Flexible de frein (Ferodo),Ferodo,A-13-12-L1-E,50,50,6,50,20,31.89,49.08,19,C
SEN-42626,OEM-5146836,Électrique,Sonde Lambda amont (NGK),NGK,D-10-02-L4-D,60,60,7,38,18,173.01,263.58,10,C
CAL-42627,OEM-5522175,Freinage,Plaquettes AR (Brembo),Brembo,A-05-01-L2-D,14,14,2,5,3,110.04,159.1,21,C
ROT-42628,OEM-3743007,Freinage,Plaquettes AR (TRW),TRW,D-03-02-L3-C,10,10,9,5,2,119.47,187.61,27,C
STR-42629,OEM-5242272,Suspension,Amortisseur bitube (Monroe),Monroe,B-37-01-L2-C,75,77,15,112,55,49.12,68.27,3,C
CAL-42630,OEM-4439235,Freinage,Étrier reconditionné (Bosch),Bosch,A-10-08-L2-B,9,9,6,10,3,151.69,238.35,42,C
BEL-42631,OEM-4920417,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,B-05-04-L4-C,9,9,8,12,4,156.18,250.57,39,C
BRK-42632,OEM-8823326,Freinage,Plaquettes AV (Ferodo),Ferodo,C-03-09-L4-A,1,1,1,8,1,141.07,242.72,41,C
SUS-42633,OEM-8625560,Suspension,Rotule de direction (KYB),KYB,D-10-10-L4-C,1,1,1,6,1,128.81,196.15,40,C
SEN-42634,OEM-6118402,Électrique,Alternateur 140A (NGK),NGK,B-30-03-L2-B,14,14,8,5,3,234.27,396.38,19,A
ALT-42635,OEM-8658715,Électrique,Sonde Lambda amont (Bosch),Bosch,A-08-01-L3-B,17,17,11,31,9,119.42,189.53,20,C
BRK-42636,OEM-9521002,Freinage,Flexible de frein (Ferodo),Ferodo,B-27-09-L2-E,36,36,14,22,11,137.42,230.73,8,A
RAD-42637,OEM-3302837,Moteur & Refroidissement,Courroie accessoire (Gates),Gates,C-14-05-L1-C,67,67,6,24,8,209.08,347.49,12,C
STR-42638,OEM-8819347,Électrique,Bobine d'allumage (Valeo),Valeo,A-09-12-L4-C,6,6,6,9,1,191.28,301.27,30,C
STR-42639,OEM-1367403,Suspension,Ressort hélicoïdal (Sachs),Sachs,A-10-05-L3-E,15,15,4,6,1,103.23,168.45,30,A
ROT-42640,OEM-1428463,Freinage,Étrier reconditionné (Textar),Textar,B-27-08-L2-E,182,182,1,82,44,105.28,173.85,8,C
ARM-42641,OEM-5959920,Suspension,Bras oscillant inférieur (Sachs),Sachs,D-02-05-L2-D,195,195,0,63,20,120.86,187.09,5,C
AIR-42642,OEM-1816325,Filtration,Filtre à air (Wix),Wix,C-13-09-L1-A,15,15,11,28,12,24.83,38.6,10,A
RAD-42643,OEM-9292859,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,A-19-10-L4-C,28,28,7,39,15,143.38,229.07,16,C
ARM-42644,OEM-9007790,Suspension,Rotule de direction (Sachs),Sachs,D-05-10-L1-B,5,5,1,5,1,41.53,69.12,15,C
CAB-42645,OEM-9396124,Filtration,Filtre à air (Wix),Wix,D-09-06-L4-D,2,2,0,4,2,22.24,30.53,39,A
ARM-42646,OEM-2668310,Suspension,Amortisseur bitube (KYB),KYB,B-03-03-L2-E,144,144,9,113,43,180.55,274.2,5,B
AIR-42647,OEM-5766846,Filtration,Filtre carburant diesel (Mann-Filter),Mann-Filter,C-19-07-L2-A,1,1,1,7,2,21.55,37.5,28,C
BRK-42648,OEM-2371597,Freinage,Disque ventilé (TRW),TRW,A-12-15-L4-C,42,42,12,39,11,108.27,161.66,14,A
AIR-42649,OEM-2851757,Filtration,Filtre à huile (Bosch),Bosch,D-01-02-L3-B,12,12,10,10,4,14.07,19.12,27,C
SUS-42650,OEM-7264613,Suspension,Bras oscillant inférieur (KYB),KYB,B-39-07-L4-E,11,11,6,8,1,163.9,229.21,32,C
RAD-42651,OEM-5118597,Moteur & Refroidissement,Courroie accessoire (Valeo),Valeo,A-20-14-L2-E,8,8,5,6,2,217.33,365.38,36,C
ARM-42652,OEM-6670714,Suspension,Amortisseur bitube (Moog),Moog,C-13-04-L3-C,18,18,12,43,17,186.09,319.97,12,C
STR-42653,OEM-8066483,Électrique,Bobine d'allumage (Bosch),Bosch,B-27-01-L2-B,150,150,14,104,42,170.8,247.84,8,C
STR-42654,OEM-8194605,Électrique,Alternateur 140A (NGK),NGK,D-01-08-L4-A,6,6,1,3,1,266.2,459.71,26,A
ALT-42655,OEM-1127050,Électrique,Démarreur 1.8kW (Bosch),Bosch,B-22-08-L4-A,2,2,0,12,4,139.11,211.77,25,C
RAD-42656,OEM-1851801,Moteur & Refroidissement,Radiateur alu (Continental),Continental,C-04-04-L1-E,10,10,8,9,3,13.89,22.02,27,C
BRK-42657,OEM-7301113,Freinage,Plaquettes AR (Ferodo),Ferodo,B-01-08-L2-A,14,12,2,8,2,85.06,142.92,21,B
CAB-42658,OEM-6099456,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,D-07-04-L3-A,3,3,3,8,4,16.67,26.41,44,C
ARM-42659,OEM-7188074,Suspension,Bras oscillant inférieur (Moog),Moog,A-18-07-L1-D,9,9,5,9,4,157.34,255.1,23,B
STR-42660,OEM-9820188,Suspension,Bras oscillant inférieur (Moog),Moog,D-06-10-L2-E,25,25,13,18,7,126.38,174.05,19,C
ROT-42661,OEM-3850958,Freinage,Plaquettes AR (Bosch),Bosch,A-14-02-L1-D,5,5,0,8,1,88.34,152.05,38,A
CAL-42662,OEM-5512127,Freinage,Disque ventilé (Bosch),Bosch,A-07-07-L2-E,7,7,5,6,3,22.26,36.52,44,A
BRK-42663,OEM-1865117,Freinage,Plaquettes AV (Ferodo),Ferodo,C-03-05-L3-D,269,269,7,65,28,20.77,35.17,3,A
ARM-42664,OEM-6282075,Suspension,Ressort hélicoïdal (Sachs),Sachs,B-26-10-L3-E,1,1,1,5,3,161.14,218.42,43,A
ARM-42665,OEM-9897747,Suspension,Ressort hélicoïdal (Monroe),Monroe,A-15-15-L2-D,11,11,0,7,1,32.66,46.41,37,C
CAB-42666,OEM-3161752,Filtration,Filtre carburant diesel (Mahle),Mahle,D-08-04-L3-D,220,220,12,87,37,32.14,55.44,5,C
SEN-42667,OEM-6756919,Électrique,Alternateur 140A (NGK),NGK,B-05-03-L1-B,64,64,11,36,6,43.22,70.96,18,C
RAD-42668,OEM-1068626,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,C-07-09-L3-D,8,8,5,4,2,229.93,324.8,15,C
STR-42669,OEM-2837698,Suspension,Amortisseur bitube (KYB),KYB,D-07-02-L4-E,2,2,0,5,3,201.33,328.48,31,A
FLT-42670,OEM-5316134,Filtration,Filtre à air (Mann-Filter),Mann-Filter,D-09-09-L4-A,53,58,10,74,35,31.62,51.6,6,C
CAL-42671,OEM-7312434,Freinage,Plaquettes AR (Brembo),Brembo,A-09-09-L1-C,12,12,5,10,3,72.95,127.07,34,C
CAL-42672,OEM-7191081,Freinage,Plaquettes AR (Brembo),Brembo,A-01-10-L2-D,346,346,12,103,25,42.0,66.98,10,C
WAT-42673,OEM-2574380,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,C-10-08-L2-D,5,5,1,7,4,61.99,94.56,35,C
WAT-42674,OEM-1691251,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,A-06-12-L3-C,7,7,3,9,3,223.15,305.39,42,C
SUS-42675,OEM-3012583,Suspension,Rotule de direction (KYB),KYB,B-31-07-L4-C,25,25,10,30,5,89.98,126.02,13,C
BRK-42676,OEM-7078550,Freinage,Étrier reconditionné (Brembo),Brembo,C-20-09-L3-C,50,50,9,23,13,127.59,201.71,9,A
STR-42677,OEM-7071491,Suspension,Amortisseur bitube (KYB),KYB,C-12-10-L4-D,5,5,0,8,1,176.75,280.02,34,C
CAL-42678,OEM-3844250,Freinage,Plaquettes AR (Bosch),Bosch,C-15-09-L2-C,7,7,0,6,4,127.07,193.08,24,C
WAT-42679,OEM-4903068,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,C-04-05-L2-A,11,11,5,7,4,211.94,298.78,34,C
RAD-42680,OEM-4502642,Moteur & Refroidissement,Kit distribution + pompe (Valeo),Valeo,B-37-02-L4-A,12,12,0,46,20,104.05,144.54,13,C
RAD-42681,OEM-6601372,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,A-12-15-L2-C,5,5,0,8,4,67.89,92.99,19,C
WAT-42682,OEM-6951106,Moteur & Refroidissement,Radiateur alu (Gates),Gates,B-40-10-L1-A,1,1,1,7,1,104.0,176.56,22,C
SEN-42683,OEM-6393421,Électrique,Sonde Lambda amont (Denso),Denso,A-07-01-L2-D,13,13,3,11,4,79.54,114.89,17,C
RAD-42684,OEM-5296689,Moteur & Refroidissement,Radiateur alu (SKF),SKF,A-03-13-L2-D,7,7,1,6,2,28.55,49.75,38,C
RAD-42685,OEM-6814548,Moteur & Refroidissement,Courroie accessoire (Continental),Continental,B-16-07-L2-D,131,131,8,112,45,136.17,194.54,10,C
STR-42686,OEM-1525929,Électrique,Capteur vilebrequin (Delphi),Delphi,A-16-07-L4-B,80,80,13,34,13,67.04,113.9,16,C
CAL-42687,OEM-2181000,Freinage,Flexible de frein (TRW),TRW,D-07-10-L3-A,11,11,4,9,1,31.23,52.25,14,B
ROT-42688,OEM-3271913,Freinage,Étrier reconditionné (Ferodo),Ferodo,A-14-05-L4-D,5,5,5,8,3,40.52,62.99,14,C
RAD-42689,OEM-4125723,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,C-08-03-L1-C,6,6,6,8,3,186.33,269.8,30,C
STR-42690,OEM-4668769,Électrique,Alternateur 140A (Valeo),Valeo,A-16-02-L1-C,72,72,10,41,16,307.6,513.09,14,C
AIR-42691,OEM-1051847,Filtration,Filtre carburant diesel (Mahle),Mahle,C-16-10-L1-A,4,4,3,7,4,10.88,17.28,36,C
ROT-42692,OEM-7423837,Freinage,Étrier reconditionné (Bosch),Bosch,A-16-14-L4-E,9,9,7,10,3,124.49,177.6,42,C
BRK-42693,OEM-5655104,Freinage,Flexible de frein (Brembo),Brembo,C-19-04-L2-D,56,56,15,22,6,42.98,60.7,17,C
STR-42694,OEM-3540908,Suspension,Rotule de direction (Moog),Moog,B-03-09-L2-B,8,8,2,12,4,165.25,270.83,21,C
SUS-42695,OEM-4009724,Suspension,Ressort hélicoïdal (Bilstein),Bilstein,A-14-07-L4-B,1,1,0,11,4,80.19,129.15,40,C
STR-42696,OEM-1046423,Électrique,Capteur vilebrequin (Valeo),Valeo,A-11-08-L4-C,14,14,0,7,1,273.93,435.76,44,C
ALT-42697,OEM-6829726,Électrique,Alternateur 140A (Denso),Denso,C-15-04-L4-A,298,298,5,106,27,235.55,340.02,8,C
STR-42698,OEM-1055175,Suspension,Amortisseur bitube (Sachs),Sachs,B-29-05-L1-E,10,10,10,9,2,207.89,346.32,36,A
BRK-42699,OEM-1678151,Freinage,Étrier reconditionné (TRW),TRW,B-39-08-L3-A,33,33,10,47,19,71.04,119.92,7,C
ALT-42700,OEM-3041365,Électrique,Alternateur 140A (Delphi),Delphi,B-31-06-L1-B,5,5,4,8,2,156.33,268.27,27,A
SEN-42701,OEM-1811692,Électrique,Démarreur 1.8kW (Bosch),Bosch,A-11-14-L3-B,3,3,0,11,4,153.08,251.5,29,A
ALT-42702,OEM-8195035,Électrique,Bobine d'allumage (Bosch),Bosch,D-05-02-L4-E,259,259,9,89,52,310.76,533.15,8,C
BEL-42703,OEM-5596060,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,B-20-07-L3-D,25,25,6,17,6,48.56,84.96,7,C
RAD-42704,OEM-9787888,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,B-13-10-L2-A,5,5,1,11,4,38.27,56.58,41,C
WAT-42705,OEM-5159647,Moteur & Refroidissement,Kit distribution + pompe (Valeo),Valeo,A-08-05-L3-D,287,287,14,92,42,79.61,113.09,3,A
SUS-42706,OEM-2156422,Suspension,Rotule de direction (Moog),Moog,D-10-01-L3-E,8,8,4,11,3,133.98,180.9,36,C
BRK-42707,OEM-8086595,Freinage,Disque ventilé (Ferodo),Ferodo,A-03-02-L2-A,237,237,12,118,47,56.91,97.88,4,C
ALT-42708,OEM-1434030,Électrique,Sonde Lambda amont (Valeo),Valeo,B-40-06-L2-D,1,1,0,7,1,166.93,234.32,36,C
CAL-42709,OEM-9078594,Freinage,Plaquettes AR (Ferodo),Ferodo,B-38-05-L1-B,3,5,1,8,3,51.21,82.44,45,C
RAD-42710,OEM-5517384,Moteur & Refroidissement,Kit distribution + pompe (Valeo),Valeo,B-31-08-L1-E,295,295,14,85,36,178.42,285.35,8,A
CAL-42711,OEM-2786277,Freinage,Plaquettes AV (Bosch),Bosch,B-23-02-L4-E,8,8,4,8,2,79.43,126.24,37,C
SUS-42712,OEM-4971570,Suspension,Ressort hélicoïdal (KYB),KYB,A-03-05-L3-B,1,1,0,10,4,102.59,173.45,37,C
SUS-42713,OEM-6336825,Suspension,Bras oscillant inférieur (Moog),Moog,D-08-08-L4-C,342,342,7,92,50,183.77,316.88,8,C
RAD-42714,OEM-9194366,Moteur & Refroidissement,Radiateur alu (SKF),SKF,B-05-06-L1-E,9,9,9,10,2,71.51,99.59,25,B
BRK-42715,OEM-9029511,Freinage,Plaquettes AV (Bosch),Bosch,B-03-10-L3-D,7,7,1,6,4,66.85,94.94,26,C
FLT-42716,OEM-1090624,Filtration,Filtre carburant diesel (Bosch),Bosch,B-08-05-L1-B,29,29,4,30,20,11.67,18.72,17,C
AIR-42717,OEM-9883659,Filtration,Filtre carburant diesel (Wix),Wix,C-09-03-L3-A,25,25,15,28,11,33.59,53.61,10,B
ROT-42718,OEM-9651653,Freinage,Flexible de frein (Bosch),Bosch,D-06-03-L2-B,7,7,4,5,1,146.12,248.59,31,A
ALT-42719,OEM-2857384,Électrique,Démarreur 1.8kW (Delphi),Delphi,A-17-13-L1-B,18,18,7,35,15,263.58,375.63,8,C
ROT-42720,OEM-8625279,Freinage,Étrier reconditionné (Textar),Textar,A-01-14-L4-D,4,2,0,3,1,98.15,163.66,19,C
BEL-42721,OEM-7625694,Moteur & Refroidissement,Courroie accessoire (SKF),SKF,A-18-05-L3-C,401,401,0,119,40,183.9,291.5,9,C
RAD-42722,OEM-3678029,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,C-13-05-L3-C,272,272,10,117,54,223.19,351.9,10,C
CAB-42723,OEM-6865320,Filtration,Filtre carburant diesel (Wix),Wix,D-06-07-L2-B,15,15,11,47,17,37.35,57.33,19,A
CAL-42724,OEM-2756586,Freinage,Étrier reconditionné (Brembo),Brembo,A-16-08-L1-A,73,73,8,33,5,41.45,63.11,12,C
ROT-42725,OEM-7659117,Freinage,Plaquettes AV (Textar),Textar,A-01-15-L4-D,28,28,9,37,14,141.61,217.25,14,C
WAT-42726,OEM-2568155,Moteur & Refroidissement,Courroie accessoire (Valeo),Valeo,C-03-05-L2-A,6,6,1,11,4,30.88,50.19,14,C
ROT-42727,OEM-2283123,Freinage,Disque ventilé (Bosch),Bosch,C-06-01-L3-B,10,10,4,8,1,112.25,186.55,39,C
RAD-42728,OEM-2918766,Moteur & Refroidissement,Courroie accessoire (SKF),SKF,B-29-06-L3-E,182,182,6,122,52,188.33,329.08,4,C
STR-42729,OEM-4406092,Suspension,Amortisseur bitube (Monroe),Monroe,B-30-04-L1-D,2,2,2,4,2,70.12,118.42,14,C
WAT-42730,OEM-6965331,Moteur & Refroidissement,Thermostat piloté (Continental),Continental,A-08-14-L1-A,15,15,11,7,2,159.75,272.08,15,C
CAL-42731,OEM-8669823,Freinage,Étrier reconditionné (Brembo),Brembo,A-09-04-L2-E,15,15,4,8,3,134.06,224.45,42,A
ALT-42732,OEM-4027971,Électrique,Capteur vilebrequin (Denso),Denso,B-08-01-L1-B,1,1,0,9,1,23.78,35.42,42,A
SEN-42733,OEM-1140948,Électrique,Capteur vilebrequin (NGK),NGK,D-08-09-L4-E,28,28,14,39,10,231.45,375.26,15,C
RAD-42734,OEM-2872265,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,A-19-08-L4-E,133,133,9,95,26,78.4,131.31,3,C
SUS-42735,OEM-3790068,Suspension,Amortisseur bitube (KYB),KYB,B-09-01-L2-D,11,11,0,7,3,43.71,75.11,20,C
STR-42736,OEM-9052908,Suspension,Rotule de direction (Moog),Moog,D-02-01-L3-B,8,8,4,3,1,45.01,68.23,40,A
CAL-42737,OEM-1517854,Freinage,Disque ventilé (Bosch),Bosch,A-20-10-L3-E,48,48,4,43,20,33.88,49.21,13,C
STR-42738,OEM-7651408,Électrique,Sonde Lambda amont (NGK),NGK,B-10-10-L1-D,1,1,1,4,2,246.23,393.06,29,C
SUS-42739,OEM-6074862,Suspension,Amortisseur bitube (Monroe),Monroe,C-10-08-L3-D,19,19,15,41,19,61.61,104.23,17,C
CAB-42740,OEM-4433258,Filtration,Filtre habitacle charbon (Bosch),Bosch,A-20-05-L4-C,19,19,11,27,5,4.14,6.93,10,C
STR-42741,OEM-2238336,Électrique,Sonde Lambda amont (Bosch),Bosch,C-11-07-L4-A,5,5,0,8,2,87.21,128.83,40,C
AIR-42742,OEM-2046539,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,B-06-05-L4-C,27,27,14,30,7,26.57,43.59,17,C
STR-42743,OEM-5657276,Électrique,Bobine d'allumage (Bosch),Bosch,B-40-07-L4-B,25,25,7,34,16,232.55,331.82,9,C
ARM-42744,OEM-7481777,Suspension,Rotule de direction (Bilstein),Bilstein,B-28-05-L4-D,15,15,9,10,3,172.51,257.07,24,C
SUS-42745,OEM-4587938,Suspension,Bras oscillant inférieur (Moog),Moog,A-01-02-L2-C,331,331,13,66,29,22.47,32.92,4,A
ARM-42746,OEM-8980926,Suspension,Amortisseur bitube (Moog),Moog,D-03-03-L2-C,21,21,3,31,10,40.28,69.55,21,C
AIR-42747,OEM-4146573,Filtration,Filtre à huile (Purflux),Purflux,B-31-10-L4-C,5,5,3,5,3,4.26,6.63,27,C
RAD-42748,OEM-9802717,Moteur & Refroidissement,Radiateur alu (Gates),Gates,B-08-09-L4-D,141,141,14,116,55,203.83,282.45,9,C
BEL-42749,OEM-1096151,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,B-09-05-L3-E,18,18,0,28,11,15.01,22.86,9,C
STR-42750,OEM-5859252,Suspension,Ressort hélicoïdal (Sachs),Sachs,C-07-04-L1-B,57,57,1,50,20,181.33,258.81,14,A
FLT-42751,OEM-6783719,Filtration,Filtre carburant diesel (Wix),Wix,C-14-05-L3-C,29,29,14,24,6,7.43,11.67,18,C
STR-42752,OEM-3281453,Électrique,Sonde Lambda amont (Denso),Denso,B-17-07-L2-C,292,292,0,123,47,213.1,341.0,7,C
STR-42753,OEM-8254903,Suspension,Amortisseur bitube (Moog),Moog,B-20-01-L3-C,30,32,0,32,12,202.34,287.61,8,C
RAD-42754,OEM-4431764,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,C-04-10-L4-B,57,57,11,28,18,221.66,352.07,16,C
BRK-42755,OEM-6043640,Freinage,Disque ventilé (TRW),TRW,C-02-07-L2-A,182,182,0,104,38,50.18,77.98,8,C
SEN-42756,OEM-6131922,Électrique,Démarreur 1.8kW (Denso),Denso,C-18-05-L4-B,264,265,14,113,38,125.82,217.05,5,C
BEL-42757,OEM-3322333,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,C-09-04-L1-B,3,3,0,11,4,33.89,52.27,14,C
ARM-42758,OEM-8016653,Suspension,Amortisseur bitube (Monroe),Monroe,B-11-07-L3-C,40,40,8,38,18,69.18,115.75,8,C
RAD-42759,OEM-5148297,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,D-02-03-L3-E,12,12,11,6,3,33.31,49.26,26,B
WAT-42760,OEM-7001745,Moteur & Refroidissement,Courroie accessoire (Continental),Continental,A-16-09-L4-E,44,44,6,48,19,199.48,303.77,7,B
SEN-42761,OEM-8872471,Électrique,Capteur vilebrequin (Denso),Denso,C-07-08-L2-D,119,119,10,110,58,194.4,270.57,10,C
STR-42762,OEM-2661763,Électrique,Bobine d'allumage (Bosch),Bosch,A-14-08-L1-D,8,8,6,10,3,309.57,435.17,44,C
ARM-42763,OEM-1274122,Suspension,Amortisseur bitube (Moog),Moog,A-14-11-L4-D,12,12,8,10,4,172.39,234.77,43,C
